name;description;element_type;country;lat;long;exact;licence;name;description;element_type;country;lat;long;exact;licence;start;end;source;pipeline
TEXT;TEXT;TEXT;TEXT;REAL;REAL;INT;;TEXT;TEXT;TEXT;TEXT;REAL;REAL;INT;;[yyyy];[yyyy];[];[]
[str];;[char];[strg];[double];[double];[int];[str];[str];;[char];[strg];[double];[double];[int];[str];[int];[int];[string];[strg]
Medelsheim;;{I};Deutschland;49.1431412;7.2683408;3;;;;;;;;;;;;;MEGAL Nord
MediesuAurit;;{I};Rumaenien;47.786743;23.1376644;3;;;;;;;;;;;;;
Mellitah;;{I};Lybien;32.8547005;12.2404869;3;;;;;;;;;;;;;Greenstream
Mosonmagyarovar;;{I};Ukraine;47.8681469;17.2689169;3;;;;;;;;;;;;;
Murfeld;;{I};Oesterreich;46.7163493;15.6750397;3;;;;;;;;;;;;;
Narva;;{I};Estland;59.3796931;28.1790751;3;;;;;;;;;;;;;
NegruVoda;;{I};Rumaenien;43.8155851;28.2176216;3;;;;;;;;;;;;;
Nemencine;;{I};Litauen;54.760443;25.3672514;3;;;;;;;;;;;;;
Nybro;;{I};Daenemark;56.247698;8.878005;3;;;;;;;;;;;;;
Obbicht;;{I};Holland;51.0280231;5.7812382;3;;;;;;;;;;;;;
Oberkappel;;{I};Oesterreich;48.5527707;13.7716319;3;;;;;;;;;;;;;
Olbernhau;;{I};Deutschland;50.6588625;13.3383108;3;;;;;;;;;;;;;
Oltinigue ;;{I};Frankreich;47.492301;7.391487;3;;;;;;;;;;;;;
Orlovka;;{I};Ukraine;54.7929425;20.5292624;3;;;;;;;;;;;;;TENP
Otranto;;{I};Italien;40.1438978;18.4911678;3;;;;;;;;;;;;;
OudeStatenzijl;;{I};Holland;53.2019;7.205;3;;;;;;;;;;;;;EPT, NPT
Pakruojis;;{I};Litauen;55.9825873;23.8584483;3;;;;;;;;;;;;;
PassoGries;;{I};Schweiz;46.45;8.3666667;3;;;;;;;;;;;;;Transitgas Pipeline
Petange ;;{I};Luxemburg;49.5559747;5.8758655;3;;;;;;;;;;;;;
Pfronten;;{I};Deutschland;47.5766418;10.5264351;3;;;;;;;;;;;;;
Piombino;;{I};Italien;42.9256335;10.5258891;3;;;;;;;;;;;;;
Raeren;;{I};Belgien;50.6770198;6.1097331;3;;;;;;;;;;;;;
Remich;;{I};Luxemburg;49.545017;6.3674222;3;;;;;;;;;;;;;
Rogatec;;{I};Slowenien;46.2258891;15.7000312;3;;;;;;;;;;;;;
Sakiai;;{I};Litauen;54.952671;23.0480199;3;;;;;;;;;;;;;
Sempeter;;{I};Slowenien;45.9283576;13.6400285;3;;;;;;;;;;;;;
Sidirokastron ;;{I};Griechenland;41.2349471;23.3938203;3;;;;;;;;;;;;;
Silistea;;{I};Rumaenien;44.4004266;28.1771147;3;;;;;;;;;;;;;
Strandja;Srtandszha;{I};Bulgarien;42.0125;27.608611;3;;;;;;;;;;;;;
Takovo;;{I};Serbien;44.0368836;20.387069;3;;;;;;;;;;;;;
Tarvisio;;{I};Italien;46.4654751;13.5534595;3;;;;;;;;;;;;;
Trzac;;{I};Bosnien Herzogowina;44.9976747;15.7846558;3;;;;;;;;;;;;;
Tuy;;{I};Spanien;42.049155;-8.6466099;3;;;;;;;;;;;;;
Uberackern;;{I};Oesterreich;48.1928972;12.8747485;3;;;;;;;;;;;;;
UmagRijeka;;{I};Kroatien;45.4314032;13.5296337;3;;;;;;;;;;;;;
Uzhgorod;;{I};Ukraine;48.6208;22.287883;3;;;;;;;;;;;;;
ValeDeFrades;;{I};Portugal;41.6278474;-6.482318;3;;;;;;;;;;;;;
ValencoDoMinho;;{I};Portugal;42.0248024;-8.6398019;3;;;;;;;;;;;;;
Varska;;{I};Estland;57.9570536;27.6375433;3;;;;;;;;;;;;;
Vodice;;{I};Slowenien;46.1896643;14.4938539;3;;;;;;;;;;;;;
Vyborg;;{I};Russland;60.7139529;28.7571571;3;;;;;;;;;;;;;
Waidhaus;;{I};Deutschland;49.6417301;12.4962639;3;;;;;;;;;;;;;megal
Wallbach;;{I};Schweiz;47.5591058;7.9042193;3;;;;;;;;;;;;;
Winterswijk;;{I};Holland;51.977038;6.7454136;3;;;;;;;;;;;;;
Wysokoje;;{I};Polen;52.367978;23.3759718;3;;;;;;;;;;;;;
Zajecar;;{I};Serbien;43.9015048;22.2738011;3;;;;;;;;;;;;;
Zandvliet;;{I};Holland;51.35965;4.30716;3;;;;;;;;;;;;;
Zeebrugge;;{I};Belgien;51.3189468;3.2068507;3;;;;;;;;;;;;;
Zelzate;;{I};Belgien;51.1987114;3.8119772;3;;;;;;;;;;;;;
Zevenaar;;{I};Holland;51.9345728;6.0741029;3;;;;;;;;;;;;;
Zhidilovo;;{I};Mazedonien;42.2242526;22.398599;3;;;;;;;;;;;;;
