name;description;country;start_year;end_year;source;license;operatur;pipes_label;gas_type;gas_capacity;max_operating_pressure;total_power;turbinen_type_1;turbine_power_1;turbinen_type_2;turbine_power_2;turbinen_type_3;turbine_power_3;turbinen_type_4;turbine_power_4;turbinen_type_5;turbine_power_5;turbinen_type_6;turbine_power_6
TEXT;TEXT;TEXT;INT;INT;TEXT;TEXT;TEXT;TEXT;TEXT;REAL;INT;REAL;TEXT;REAL;TEXT;REAL;TEXT;REAL;TEXT;REAL;TEXT;REAL;TEXT;REAL
[];[];[];[YYYY];[YYYY];[];[];[];[];[];[Mm^3/h];[bar];[MW];[];[MW];[];[MW];[];[MW];[];[MW];[];[MW];[];[MW]
Sevilla;;Spanien;;;https://www.enagas.es/stfls/ENAGAS/Transporte%20de%20Gas/Documentos/CAT_English.pdf;;;;H;;;;;;;;;;;;;;;
Tivisa;;Spanien;;;https://www.enagas.es/stfls/ENAGAS/Transporte%20de%20Gas/Documentos/CAT_English.pdf;;;;H;;;;;;;;;;;;;;;
VillarDeArnedo;;Spanien;;;https://www.enagas.es/stfls/ENAGAS/Transporte%20de%20Gas/Documentos/CAT_English.pdf;;;;H;;;;;;;;;;;;;;;
Zamora;;Spanien;;;https://www.enagas.es/stfls/ENAGAS/Transporte%20de%20Gas/Documentos/CAT_English.pdf;;;;H;;;;;;;;;;;;;;;
Zaragoza;;Spanien;;;https://www.enagas.es/stfls/ENAGAS/Transporte%20de%20Gas/Documentos/CAT_English.pdf;;;;H;;;;;;;;;;;;;;;
Brandov;;Tschechien;;;;;;;H;;;;;;;;;;;;;;;
Breclav;;Tschechien;;;;;;;H;;;;;;;;;;;;;;;
Hora Svate Kateriny;;Tschechien;;;;;;;H;;;;;;;;;;;;;;;
Hostim;;Tschechien;;;;;;;H;;;;;;;;;;;;;;;
Kourim;;Tschechien;;;;;;;H;;;;;;;;;;;;;;;
Kralice;;Tschechien;;;;;;;H;;;;;;;;;;;;;;;
Lanzhot;;Tschechien;;;;;;;H;;;;;;;;;;;;;;;
Oslavou;;Tschechien;;;;;;;H;;;;;;;;;;;;;;;
VeseliNadLuznici;;Tschechien;;;;;;;H;;;;;;;;;;;;;;;
Aleksandrovka;;Ukraine;;;;;;;H;;;;;;;;;;;;;;;
Ananiev;;Ukraine;;;;;;;H;;;;;;;;;;;;;;;
Bar;Vinnytsia region;Ukraine;;;;;;Soyuz;H;;;;;;;;;;;;;;;
Berdichev;;Ukraine;;;;;;;H;;;;;;;;;;;;;;;
Dolyna;;Ukraine;;;;;;;H;;;;;;;;;;;;;;;
Gusyatin;;Ukraine;;;;;;;H;;;;;;;;;;;;;;;
Hust;;Ukraine;;;;;;;H;;;;;;;;;;;;;;;
Kasachya;;Ukraine;;;;;;;H;;;;;;;;;;;;;;;
Kirovograd;;Ukraine;;;;;;;H;;;;;;;;;;;;;;;
Krsilov;;Ukraine;;;;;;;H;;;;;;;;;;;;;;;
Orlovka;;Ukraine;;;;;;;L;;;;;;;;;;;;;;;
Rohatyn;;Ukraine;;;;;;;H;;;;;;;;;;;;;;;
Rososh;;Ukraine;;;;;;;H;8.333;;;;;;;;;;;;;;
Stavischenskaya;;Ukraine;;;;;;;H;;;;;;;;;;;;;;;
Talnoe;;Ukraine;;;;;;;H;;;;;;;;;;;;;;;
Volovets;;Ukraine;;;;;;;H;;;;;;;;;;;;;;;
Bata;;Ungarn;;;;;;;H;;;;;;;;;;;;;;;
Beregdaroc;;Ungarn;;;;;;;H;;;;;;;;;;;;;;;
Hajduszoboszlo;;Ungarn;;;;;;;H;;;;;;;;;;;;;;;
Mosonmagyarovar;;Ungarn;;;;;;;H;;;;;;;;;;;;;;;
Nemesbikk;;Ungarn;;;;;;;H;;;;;;;;;;;;;;;
Varosfold;;Ungarn;;;;;;;H;;;;;3;;;;;;;;;;
Ivasevichi;;Weissrussland;;;;;;;H;;;;;;;;;;;;;;;
Kobrin;;Weissrussland;;;;;;;H;;;;;;;;;;;;;;;
Krupki;;Weissrussland;;;;;;;H;;;;;;;;;;;;;;;
Minskaya;;Weissrussland;;;;;;;H;;;;;;;;;;;;;;;
Nesvizh;;Weissrussland;;;;;;;H;;;;;;;;;;;;;;;
Orshan;Orsha;Weissrussland;;;;;;;H;;;;;;;;;;;;;;;
Slonim;;Weissrussland;;;;;;;H;;;;;;;;;;;;;;;
