name;description;element_type;country;lat;long;exact
TEXT;TEXT;TEXT;TEXT;REAL;REAL;INT
[];[];[];[];[deg];[deg];[]
StMartinDeCrau;;{C};Frankreich;43.638628;4.812107;2
Stolberg;Schwarzenbruch;{C};Deutschland;50.7851608;6.185356;2
Strandja;;{C};Bulgarien;42.0125;27.608611;2
StutenseeBlankenloch;;{C};Deutschland;49.068612;8.4738774;2
StVictor;;{C};Frankreich;46.3950249;2.607516;2
Szamotuly;;{C};Polen;52.6116547;16.5779047;2
Talnoe;;{C};Ukraine;48.887593;30.7044131;2
Tarsia;;{C};Italien;39.6202304;16.2680254;2
TerranuovaBracciolini;Terranuova Bracciolini;{C};Italien;43.5630499;11.5930268;2
Tivisa;;{C};Spanien;41.0408609;0.7330858;2
Toulouse;;{C};Frankreich;43.604652;1.444209;2
Valchi Dol;;{C};Bulgarien;43.4055329;27.5511887;2
Varosfoeld;;{C};Ungarn;46.8174844;19.7597893;2
VelikaLudina;;{C};Kroatien;45.606141;16.5895288;2
VelkeKapusany;;{C};Slowakei;48.5538608;22.0749232;2
VeseliNadLuznici;;{C};Tschechien;49.1865156;14.6991941;2
VillarDeArnedo;;{C};Spanien;42.30419;-2.07075;1
Vindecy;;{C};Frankreich;46.352556;4.010777;2
Voisines;;{C};Frankreich;48.25245;3.394035;2
Volovets;;{C};Ukraine;48.7114913;23.1850055;2
Vulkaneshty;;{C};Moldawien;45.683708;28.48324;2
Waidhaus;;{C};Deutschland;49.6417301;12.4962639;2
Wardenburg;;{C};Deutschland;53.0580029;8.1991278;2
Warrington;;{C};Grossbritannien;53.408661;-2.480795373;1
Weeide;;{C};Belgien;51.3022166;4.4114244;2
Weisweiler;;{C};Deutschland;50.8273398;6.3147251;2
Weitendorf;;{C};Oesterreich;46.896;15.466;2
Wieringermeer;;{C};Holland;52.7218944;5.7318451;2
Wildenranna;;{C};Deutschland;48.5798766;13.7361922;2
Winksele;;{C};Belgien;50.8974666;4.6435179;2
Wisbech;;{C};Grossbritannien;52.72414573;0.163393056;1
Wloclawek;;{C};Polen;52.6483303;19.0677357;2
Wooler;;{C};Grossbritannien;55.58130289;-2.086443142;1
Wormington;;{C};Grossbritannien;52.02891528;-1.928437644;1
Zambrow;;{C};Polen;52.9849941;22.2413857;2
Zamora;;{C};Spanien;41.5034712;-5.7467879;2
Zaragoza;;{C};Spanien;41.6488226;-0.8890853;2
Zelzate;;{C};Belgien;51.1987114;3.8119772;2
Zevenaar;;{C};Holland;51.9345728;6.0741029;2
Zweekhorst;;{C};Holland;51.9605323;6.0759819;2
