name;description;element_type;country;lat;long;exact;source;license
TEXT;TEXT;TEXT;TEXT;REAL;REAL;INT;TEXT;TEXT
[str];[str];[str];[str];[double];[double];1=exact,2=city,3=region,4=country;[str];[str]
Bierwang;;{S};Deutschland;48.127548;12.402956;1;;
Bilbao;;{L};Spanien;43.3612;-3.09473;2;;
Bilciuresti;;{S};Rumaenien;44.690654;25.775177;1;;
BilishtQendr;;{P};Albanien;40.581944;21.000003;1;;
Birch;;{P};Grossbritannien;53.14962509;-2.682331726;1;Shapefile;
Biriatou;;{I};Frankreich;43.333204;-1.743022;3;;
Birmingham;;{P};Grossbritannien;52.478;-1.883;2;;
Bishop;;{C};Grossbritannien;54.6707702;-1.565698513;1;;
Bizzarone;;{P};Italien;45.834135;8.946413;2;;
Blackness;;{P};Grossbritannien;56.00165371;-3.542202514;1;Shapefile;
Blanchland_1;;{P};Grossbritannien;54.85238788;-2.076395621;1;Shapefile;
Blanchland_2;;{P};Grossbritannien;54.85220165;-2.076298139;1;Shapefile;
Bobbau;;{P};Deutschland;51.703309;12.251789;1;;
Bochholtz;;{I};Holland;50.8180412;6.0088551;3;;
Bocholtz;;{P};Holland;50.817365;6.021767;1;;
Bonikowo;;{S};Polen;52.120077;16.645469;2;;
Bordano;;{P};Italien;46.31489;13.105341;2;;
Bordolano;;{S};Italien;45.287349;9.982015;1;;
Bornicke;;{P};Deutschland;52.6625882;13.6406119;2;;
Bosentino;;{P};Italien;46.001982;11.224358;2;;
Bourbonne;Bourbonne-les-Bains??;{P};Frankreich;47.949;5.749;2;;
Braco;;{P};Grossbritannien;56.24485259;-3.927125454;1;Shapefile;
Braga;;{P};Portugal;41.541;-8.414;2;;
Brammer;;{P};Deutschland;52.969855;9.346443;1;;
Brandon;;{P};Grossbritannien;54.75518528;-1.672319617;1;Shapefile;
Brandov;HoraSvKaterinyBrandow/Olbernhau;{P};Tschechien;50.635;13.39;2;;
Breal;;{C};Frankreich;48.048439;-1.864231;2;;
Breclav;;{C};Tschechien;48.75314;16.8825169;2;;
Breheville;;{C};Frankreich;49.382658;5.329267;2;;
Breitbrunn;;{S};Deutschland;47.922265;12.433821;2;;
BremenLesum;;{S};Deutschland;53.160905;8.718167;1;;
Brest;;{P};Frankreich;48.402;-4.48;2;;
Bretherton;;{P};Grossbritannien;53.66950164;-2.801337695;1;Shapefile;
Brighthouse;;{C};Grossbritannien;54.78735;-4.12912;2;;
BrighthouseBay;;{I};Grossbritanien;54.78735;-4.12912;3;;
Brindisi;;{P};Italien;40.593587;17.860057;2;;
Brizambourg;;{C};Frankreich;45.822208;-0.479831;2;;
Brodske;Brodske_Lanzhot nach Deutschland;{P};Slowakei;48.699;17.025;2;;
BruggrafBernsdorf;;{S};Deutschland;51.207898;11.479785;1;;
Brugherio;;{S};Italien;;;5;;
Brunnsviksholme;;{L};Schweden;58.922139;17.976153;2;;
Brzeznica;;{S};Polen;;;5;;
Buchholz;;{S};Deutschland;52.174964;12.926628;1;;
Budapest;;{P};Ungarn;47.49059;19.245;2;;
Budince;;{E};Slowakei;48.5448153;22.1227244;2;;
Bunde;;{C};Deutschland;53.1850881;7.2712674;2;;
Burghausen;;{P};Deutschland;48.17;12.826;2;;
Burgos;;{P};Spanien;42.346;-3.691;2;;
Cairnorrie;;{P};Grossbritannien;57.49155078;-2.195485886;1;Shapefile;
CalderariEnna;Calderari Enna;{P};Italien;37.560406;14.366079;1;;
Caldonazzo;;{P};Italien;45.993482;11.261135;2;;
Cambridge;;{C};Grossbritannien;52.0812606;0.166856789;1;;
CampagnaLupia;Campagna Lupia;{P};Italien;45.353355;12.097296;2;;
Campochiaro;;{P};Italien;41.447384;14.508592;2;;
CampoMaior;Campo Maior;{P};Portugal;39.022;-7.059;2;;
Candela;compressor;{P};Italien;41.136273;15.514454;2;;
Captiex;;{C};Frankreich;44.291534;-0.261723;2;;
Carnforth;;{C};Grossbritannien;54.10108859;-2.737139207;1;;
Carregado;;{C};Portugal;39.0226889;-8.9769208;2;;
Carrickfergus;;{P};Grossbritannien;54.722;-5.811;2;;
Carrio;;{S};Portugal;39.983508;-8.85463;1;;
Cartagena;;{P};Spanien;37.624;-0.998;2;;
Casalborsetti;;{P};Italien;44.554176;12.264301;1;;
Cavarzere;;{P};Italien;45.133742;12.08022;2;;
Caythorpe;;{S};Grossbritanien;54.114951;-0.359108;2;;
Cellino;;{S};Italien;;;4;;
Centa;;{P};Serbien;45.1370648;20.3957518;2;;
Cersak;;{I};Slowenien;46.699017;15.6679742;3;;
Cervignano;;{P};Italien;45.372148;9.424874;2;;
Cerville ;;{S};Frankreich;48.707076;6.298375;1;;
